bedrijf,medewerker_id,naam,leeftijd,geslacht,afkomst,provincie,studie_niveau,opleidingsrichting,specialisatie,werkervaring_jaren,dienstjaren,functie,afdeling,team,senioriteit,mindset,persoonlijkheidsstijl,politiek,technologische_kennis,%_werk_op_computer,%_werk_met_machines,mobiliteit,lease_auto,thuiswerkpercentage,communicatiestijl,feedbackstijl,leiderschapstype,besluitvormingstype,gebruik_van_data,trainingen_per_jaar,deelname_AI_project,deelname_communities,mentorschap,sociale_connecties_op_werk,werktevredenheid,zingeving_in_werk,burnout_risico,autonomie,invloed_op_beslissingen,verwachting_AI_in_werk,kennis_nieuwe_technologie,projectcomplexiteit,werkdruk,rol_in_verandering,houding_risico,conformisme,creativiteit,leerstijl,motivatiebron,compliance_bewustzijn,veiligheidscultuur_HSE,IT_afhankelijkheid_rol,field_vs_kantoor,shiftwerk,klantcontact_intensiteit,stakeholder_complexiteit,regulering_exposure,budgetverantwoordelijkheid,besluitsnelheid_persoonlijk,veranderhistorie_succes,tech_champion_netwerk,tooling_voorkeur,documentatiediscipline,kwaliteitsfocus,duurzaamheidshouding,inclusieve_houding,vertrouwen_in_management,vertrouwen_in_collegas,issue_escalatiestijl,besluit_rationaliteit,teamgrootte,salaris_per_maand_eur
Volker Nexus Group,VNG-W8O5FT,Maxim Bleijenberg-Ponci,34,X,Nederlands,Flevoland,MBO,Biotechnologie,Power BI,0,0,Servicemonteur,HR,Team-01,Starter,Visionair,ISFJ,Centrum,1,60,50,Fiets,Nee,75,Formeel,Indirect,Coachend,Top-down,Wekelijks,3,Nee,2,Geen,Gemiddeld,3,3,5,4,1,Kans,5,Gemiddeld,2,Weerstand,Neutraal,Hoog,1,On-the-job,Groei,5,2,Midden,25/75,Geen,Midden,Laag,Hoog,Groot,Traag,Hoog,Nee,Zoom,3,2,Neutraal,3,5,1,Formalistisch,Ervarings-gedreven,31,3000
Volker Nexus Group,VNG-QBGOP8,Jayson de Hoog-Broeshart,48,X,Indonesisch-Nederlands,Zeeland,MBO,AI,BREEAM,10,5,Monteur E-tech,HR,Team-12,Medior,Innovatief,ESFJ,Centrum-links,1,60,50,OV,Nee,0,Informeel,Indirect,Coachend,Top-down,Wekelijks,3,Nee,3,Mentor,Laag,1,5,4,2,2,Verlies,1,Laag,5,Weerstand,Neutraal,Laag,1,Klassikaal,Zingeving,5,4,Hoog,25/75,3-ploeg,Hoog,Midden,Hoog,Geen,Snel,Midden,Nee,Zoom,2,5,Neutraal,1,4,3,Formalistisch,Data-gedreven,5,4950
Volker Nexus Group,VNG-U4IN0C,Cas Vierdag,18,V,Nederlands,Zuid-Holland,WO,Civiele Techniek,Calculatie,10,8,HR-adviseur,Juridisch,Team-01,Medior,Neutraal,ISTJ,Centrum,3,62,14,Mix,Nee,50,Feitelijk,Direct,Coachend,Consensus,Dagelijks,3,Nee,0,Mentor,Hoog,1,1,2,3,3,Verlies,2,Laag,4,Weerstand,Risk-averse,Hoog,4,Coaching,Zekerheid,4,2,Laag,100% kantoor,Geen,Laag,Laag,Midden,Middel,Gemiddeld,Laag,Nee,Zoom,5,4,Neutraal,4,1,5,Stilhouden,Intuïtief,14,6600
Volker Nexus Group,VNG-I3E7YV,Eliza van Herstal,41,V,Nederlands,Friesland,Bachelor,Veiligheidskunde,Nul-op-de-meter,2,2,Calculator/Kostendeskundige,Engineering,Team-40,Junior,Reactief,INFJ,Centrum,1,56,8,OV,Nee,75,Informeel,Voorzichtig,Sturend,Consensus,Wekelijks,0,Nee,0,Geen,Gemiddeld,4,5,2,1,2,Kans,1,Laag,4,Change champion,Risk-seeking,Laag,2,On-the-job,Status,3,5,Laag,50/50,2-ploeg,Hoog,Midden,Hoog,Klein,Traag,Hoog,Ja,Slack,4,1,Neutraal,3,1,4,Stilhouden,Data-gedreven,11,4332
Volker Nexus Group,VNG-C88RMW,Ise Mater-Boetet,18,M,Pools-Nederlands,Friesland,HBO,Econometrie,ISO-14001,4,0,BIM-coördinator,Infra,Team-13,Junior-Medior,Reactief,ISTJ,Centrum,3,92,4,Fiets,Nee,0,Feitelijk,Indirect,Ondersteunend,Consensus,Maandelijks,0,Ja,0,Mentor,Laag,2,2,5,2,4,Verlies,1,Gemiddeld,5,Volger,Risk-seeking,Laag,2,On-the-job,Status,4,4,Hoog,50/50,3-ploeg,Hoog,Midden,Laag,Geen,Traag,Laag,Nee,Zoom,5,4,Proactief,2,5,4,Proactief,Intuïtief,3,5200
Volker Nexus Group,VNG-16GQ5Y,Giovanni Claesner,40,V,Nederlands,Friesland,Bachelor,Ruimtelijke Ordening,GIS,4,4,Software Engineer,Bouw,Team-02,Junior-Medior,Reactief,ENTJ,Centrum,2,70,0,OV,Nee,25,Feitelijk,Direct,Sturend,Autonoom,Maandelijks,2,Nee,3,Mentee,Hoog,2,3,2,1,5,Kans,3,Hoog,2,Weerstand,Risk-averse,Laag,5,Klassikaal,Zekerheid,5,1,Midden,100% field,Geen,Laag,Hoog,Laag,Groot,Traag,Laag,Ja,Slack,1,1,Sceptisch,5,2,1,Proactief,Data-gedreven,11,5480
Volker Nexus Group,VNG-T553TK,Noor van Rijnsbergen-van Parijs,34,X,Nederlands,Zeeland,MBO,Informatica,ARBO,10,8,Teamleider Uitvoering,Materieel & Logistiek,Team-07,Medior,Reactief,ISFP,Centrum-links,1,51,0,Mix,Nee,50,Feitelijk,Direct,Coachend,Consensus,Maandelijks,4,Nee,5,Mentee,Gemiddeld,2,5,4,4,1,Kans,3,Gemiddeld,3,Weerstand,Neutraal,Midden,3,Coaching,Zekerheid,1,3,Hoog,100% kantoor,2-ploeg,Midden,Hoog,Laag,Geen,Gemiddeld,Midden,Ja,Slack,4,3,Sceptisch,5,5,4,Stilhouden,Data-gedreven,23,7040
Volker Nexus Group,VNG-HC3AUF,Ninthe van Bergen,46,V,Nederlands,Overijssel,MBO,Technische Bedrijfskunde,Systems Engineering,15,8,Magazijnbeheerder,Bouw,Team-25,Medior-Senior,Visionair,INTP,Centrum-rechts,4,60,50,Mix,Nee,25,Feitelijk,Voorzichtig,Ondersteunend,Autonoom,Maandelijks,2,Nee,1,Beide,Hoog,4,3,4,3,4,Kans,5,Gemiddeld,1,Change champion,Risk-seeking,Hoog,4,Coaching,Geld,3,5,Hoog,75/25,Geen,Midden,Midden,Hoog,Middel,Gemiddeld,Hoog,Ja,Google Meet,4,4,Proactief,2,5,5,Proactief,Data-gedreven,28,6000
Volker Nexus Group,VNG-JX0L13,Ali Schakelaar,44,M,Surinaams-Nederlands,Noord-Brabant,WO,Wiskunde,UAV-gc,12,5,BIM-modelleur,Infra,Team-47,Medior-Senior,Reactief,INFJ,Links,4,70,26,Mix,Nee,100,Verbindend,Voorzichtig,Coachend,Autonoom,Zelden,1,Nee,1,Geen,Gemiddeld,1,5,4,5,5,Verlies,5,Laag,4,Volger,Neutraal,Midden,4,Klassikaal,Zingeving,1,5,Laag,100% field,3-ploeg,Hoog,Hoog,Laag,Geen,Traag,Midden,Ja,Zoom,5,5,Sceptisch,2,5,4,Stilhouden,Intuïtief,12,6144
Volker Nexus Group,VNG-R3YD0G,Dex Brouwer,46,M,Pools-Nederlands,Gelderland,WO,HRM,NEN-2767,1,0,Monteur E-tech,Woningbouw,Team-25,Starter,Visionair,ESTJ,Centrum,4,60,52,Fiets,Ja,50,Formeel,Direct,Coachend,Consensus,Dagelijks,1,Ja,0,Beide,Hoog,2,3,3,5,5,Verlies,5,Laag,1,Volger,Risk-seeking,Hoog,4,Coaching,Groei,2,4,Hoog,100% field,2-ploeg,Midden,Laag,Hoog,Klein,Snel,Laag,Ja,Slack,2,3,Neutraal,5,3,4,Formalistisch,Data-gedreven,32,3000
Volker Nexus Group,VNG-R44EFG,Jules van den Eijssel,47,V,Nederlands,Zuid-Holland,MBO,Software Engineering,ISO-9001,2,0,Werkplaatschef,Uitvoering,Team-06,Junior,Reactief,INFP,Centrum,5,60,50,Mix,Nee,100,Verbindend,Voorzichtig,Afwezig,Consensus,Wekelijks,3,Nee,0,Mentor,Laag,5,4,1,4,4,Kans,5,Hoog,3,Change champion,Neutraal,Laag,3,E-learning,Geld,2,3,Laag,75/25,3-ploeg,Hoog,Midden,Midden,Klein,Snel,Hoog,Ja,Zoom,5,4,Neutraal,3,1,5,Formalistisch,Ervarings-gedreven,6,4332
Volker Nexus Group,VNG-7GMN2V,Louise Bosman,20,M,Nederlands,Gelderland,HBO,Werktuigbouwkunde,Nul-op-de-meter,4,1,Calculator/Kostendeskundige,Data & Analytics,Team-27,Junior-Medior,Conservatief,ESTJ,Centrum,1,61,30,Mix,Nee,25,Feitelijk,Indirect,Coachend,Top-down,Zelden,5,Ja,5,Mentee,Laag,2,2,5,5,4,Verlies,4,Hoog,4,Volger,Neutraal,Midden,2,Coaching,Zekerheid,3,5,Laag,75/25,2-ploeg,Hoog,Hoog,Laag,Geen,Gemiddeld,Laag,Ja,Microsoft Teams,5,2,Proactief,3,4,1,Proactief,Intuïtief,17,4920
Volker Nexus Group,VNG-S01UMV,Pien Schilt,44,V,Nederlands,Overijssel,HBO,Bouwkunde,Databricks,11,7,Werkplaatschef,Uitvoering,Team-38,Medior-Senior,Conservatief,ISTJ,Links,1,53,50,Mix,Ja,50,Formeel,Voorzichtig,Sturend,Consensus,Maandelijks,3,Nee,3,Beide,Hoog,5,5,2,1,4,Kans,1,Gemiddeld,2,Change champion,Neutraal,Hoog,5,Klassikaal,Zekerheid,3,2,Hoog,100% field,3-ploeg,Hoog,Laag,Hoog,Klein,Snel,Midden,Nee,Microsoft Teams,1,4,Sceptisch,3,3,2,Proactief,Intuïtief,14,7416
Volker Nexus Group,VNG-C9BY5D,Kiki van der Laarse,63,V,Nederlands,Limburg,HBO,Natuurkunde,Databricks,3,1,Engineer WTB,Engineering,Team-11,Junior,Neutraal,INTJ,Centrum,4,100,26,Mix,Nee,100,Informeel,Indirect,Ondersteunend,Consensus,Dagelijks,3,Ja,4,Mentee,Gemiddeld,2,1,2,1,4,Neutraal,2,Laag,1,Change champion,Risk-seeking,Hoog,1,Klassikaal,Groei,4,5,Hoog,50/50,Geen,Midden,Hoog,Midden,Groot,Gemiddeld,Hoog,Ja,Google Meet,2,5,Neutraal,1,3,5,Proactief,Data-gedreven,12,4503
Volker Nexus Group,VNG-BNPYKU,Dave Stoffelsz-Overeem,30,X,Nederlands,Limburg,WO,Toegepaste Psychologie,Machineveiligheid,4,4,Projectleider,Engineering,Team-23,Junior-Medior,Reactief,ENFP,Centrum-links,3,36,47,Auto,Ja,50,Feitelijk,Direct,Ondersteunend,Autonoom,Maandelijks,2,Nee,4,Geen,Hoog,2,5,1,1,2,Neutraal,2,Hoog,1,Volger,Risk-seeking,Hoog,2,E-learning,Zingeving,3,3,Laag,100% field,3-ploeg,Midden,Midden,Hoog,Groot,Snel,Laag,Nee,Slack,3,3,Sceptisch,3,1,5,Stilhouden,Data-gedreven,21,5960
Volker Nexus Group,VNG-NO9P88,Kaylee Veltman,34,M,Belgisch-Nederlands,Utrecht,MBO,Veiligheidskunde,Cost Engineering,10,5,Werkplaatschef,Uitvoering,Team-24,Medior,Conservatief,ENFP,Centrum,5,39,50,Mix,Nee,50,Informeel,Voorzichtig,Ondersteunend,Consensus,Wekelijks,2,Ja,5,Mentee,Hoog,2,2,5,3,2,Verlies,3,Laag,3,Volger,Risk-averse,Laag,3,E-learning,Status,5,4,Midden,50/50,2-ploeg,Laag,Laag,Laag,Klein,Snel,Hoog,Nee,Google Meet,4,1,Neutraal,2,3,1,Formalistisch,Intuïtief,9,6600
Volker Nexus Group,VNG-BB1VSH,Jan Boers,42,V,Marokkaans-Nederlands,Gelderland,MBO,Biotechnologie,Betonconstructies,11,11,Servicemonteur,Utiliteitsbouw,Team-21,Medior-Senior,Reactief,ENFP,Centrum,4,60,69,Te voet,Nee,100,Feitelijk,Indirect,Ondersteunend,Autonoom,Dagelijks,2,Nee,2,Mentor,Gemiddeld,1,4,5,5,5,Neutraal,5,Laag,4,Volger,Risk-seeking,Hoog,5,Klassikaal,Groei,3,1,Midden,75/25,Geen,Hoog,Midden,Hoog,Klein,Traag,Hoog,Ja,Zoom,4,4,Neutraal,2,2,3,Proactief,Data-gedreven,19,5742
Volker Nexus Group,VNG-Z7NUY1,Jens Oostveen,35,X,Nederlands,Flevoland,HBO,Data Science,Machineveiligheid,9,1,Inkoper,Juridisch,Team-24,Medior,Conservatief,ENFP,Links,1,37,33,Auto,Ja,100,Feitelijk,Direct,Ondersteunend,Consensus,Wekelijks,4,Ja,2,Mentee,Hoog,5,3,5,1,3,Verlies,2,Hoog,4,Weerstand,Neutraal,Midden,5,Coaching,Status,4,5,Laag,50/50,2-ploeg,Laag,Hoog,Midden,Groot,Snel,Midden,Nee,Zoom,5,3,Proactief,3,4,2,Proactief,Intuïtief,11,5984
Volker Nexus Group,VNG-4D4DM1,Mart Bijlsma-Wunderink,58,V,Nederlands,Zeeland,MBO,Bedrijfskunde,GIS,15,13,Monteur E-tech,ICT,Team-38,Medior-Senior,Reactief,ENTP,Centrum,4,52,97,Mix,Nee,50,Verbindend,Voorzichtig,Coachend,Autonoom,Dagelijks,4,Ja,2,Beide,Gemiddeld,2,5,1,1,5,Verlies,3,Gemiddeld,1,Volger,Risk-seeking,Laag,4,E-learning,Zekerheid,3,2,Midden,100% field,2-ploeg,Midden,Hoog,Midden,Geen,Traag,Midden,Ja,Zoom,1,4,Neutraal,3,3,3,Stilhouden,Ervarings-gedreven,9,6180
Volker Nexus Group,VNG-PQ08XF,Ravi Haengreve,28,M,Nederlands,Zuid-Holland,HBO,Natuurkunde,Circulair Bouwen,1,0,BIM-coördinator,Infra,Team-16,Starter,Reactief,INFJ,Centrum,4,70,28,Mix,Nee,25,Feitelijk,Indirect,Ondersteunend,Autonoom,Wekelijks,1,Ja,3,Mentor,Hoog,4,4,2,3,1,Neutraal,5,Hoog,2,Change champion,Risk-averse,Midden,5,E-learning,Geld,5,4,Hoog,75/25,2-ploeg,Hoog,Hoog,Midden,Groot,Gemiddeld,Midden,Nee,Microsoft Teams,1,2,Proactief,1,5,2,Stilhouden,Data-gedreven,24,3974
Volker Nexus Group,VNG-CZKGN9,Rafael Karels,41,M,Marokkaans-Nederlands,Limburg,HBO,Communicatie,Planning,25,4,Projectleider,Woningbouw,Team-17,Senior,Reactief,ENFP,Rechts,1,49,20,Fiets,Ja,50,Feitelijk,Voorzichtig,Ondersteunend,Top-down,Dagelijks,0,Ja,1,Geen,Gemiddeld,3,2,4,2,1,Neutraal,3,Gemiddeld,4,Change champion,Risk-seeking,Hoog,5,Klassikaal,Status,1,5,Midden,50/50,2-ploeg,Hoog,Laag,Hoog,Groot,Snel,Hoog,Ja,Zoom,1,2,Sceptisch,4,5,5,Stilhouden,Ervarings-gedreven,6,11700
Volker Nexus Group,VNG-3K8G4I,Lotte Rijntjes,41,X,Pools-Nederlands,Groningen,HBO,Accountancy,Calculatie,2,0,Planner,Uitvoering,Team-49,Junior,Innovatief,INFP,Centrum,3,70,28,Mix,Nee,25,Formeel,Direct,Afwezig,Top-down,Maandelijks,0,Nee,2,Mentor,Hoog,3,3,4,4,4,Kans,2,Hoog,4,Volger,Neutraal,Laag,5,Coaching,Status,3,4,Midden,100% field,3-ploeg,Hoog,Hoog,Laag,Klein,Traag,Hoog,Ja,Microsoft Teams,1,4,Proactief,1,4,5,Formalistisch,Data-gedreven,32,3724
Volker Nexus Group,VNG-0BBDBR,Aaron Haselaar,31,V,Nederlands,Drenthe,MBO,Geodesie,BREEAM,4,3,Werkvoorbereider,Materieel & Logistiek,Team-49,Junior-Medior,Neutraal,INTP,Centrum-rechts,5,76,5,Te voet,Nee,50,Verbindend,Direct,Ondersteunend,Top-down,Maandelijks,6,Ja,2,Geen,Gemiddeld,1,5,3,1,1,Kans,2,Laag,3,Change champion,Neutraal,Hoog,5,Klassikaal,Zekerheid,4,2,Midden,25/75,3-ploeg,Midden,Hoog,Hoog,Geen,Traag,Hoog,Ja,Zoom,4,1,Sceptisch,5,1,5,Stilhouden,Ervarings-gedreven,10,4240
Volker Nexus Group,VNG-T0SO8B,Pien Massa-Loep,40,V,Nederlands,Utrecht,HBO,Ruimtelijke Ordening,Lean Construction,2,0,Engineer Civiel,Bouw,Team-22,Junior,Innovatief,ENTJ,Rechts,2,100,30,Mix,Nee,100,Formeel,Direct,Ondersteunend,Consensus,Zelden,4,Ja,5,Geen,Hoog,1,2,3,1,2,Neutraal,3,Laag,5,Weerstand,Risk-averse,Laag,4,Klassikaal,Zingeving,1,4,Hoog,100% field,2-ploeg,Laag,Laag,Laag,Middel,Gemiddeld,Laag,Nee,Zoom,2,2,Sceptisch,1,2,1,Proactief,Intuïtief,4,4332
Volker Nexus Group,VNG-TENO59,Stella Niermann,53,V,Surinaams-Nederlands,Friesland,MBO,Toegepaste Psychologie,Databricks,6,0,Monteur E-tech,Duurzaamheid,Team-39,Junior-Medior,Visionair,INFJ,Centrum,3,31,50,Fiets,Nee,25,Verbindend,Voorzichtig,Afwezig,Consensus,Wekelijks,5,Nee,3,Mentor,Hoog,4,4,3,5,1,Neutraal,3,Hoog,5,Weerstand,Risk-averse,Midden,3,On-the-job,Geld,5,3,Midden,50/50,Geen,Hoog,Midden,Hoog,Geen,Gemiddeld,Midden,Nee,Microsoft Teams,2,5,Sceptisch,4,5,5,Proactief,Data-gedreven,23,3980
Volker Nexus Group,VNG-0TVHHH,Ben Overeem,57,M,Turks-Nederlands,Noord-Holland,MBO,Bouwkunde,EMVI,0,0,Teamleider Uitvoering,Materieel & Logistiek,Team-33,Starter,Reactief,ISFJ,Centrum-rechts,1,7,13,Fiets,Nee,100,Informeel,Direct,Afwezig,Autonoom,Zelden,4,Ja,4,Mentee,Hoog,1,2,2,3,3,Kans,4,Hoog,3,Change champion,Neutraal,Midden,1,Coaching,Status,4,3,Laag,100% kantoor,3-ploeg,Hoog,Midden,Laag,Klein,Snel,Laag,Ja,Microsoft Teams,1,3,Neutraal,5,5,5,Stilhouden,Intuïtief,13,4080
Volker Nexus Group,VNG-INYNF9,Yara van der Veen,29,M,Nederlands,Limburg,MBO,Bedrijfskunde,MLOps,31,13,Servicemonteur,KAM/HSSE,Team-44,Senior,Reactief,INFJ,Centrum-rechts,2,60,50,OV,Ja,25,Verbindend,Voorzichtig,Ondersteunend,Consensus,Maandelijks,4,Nee,0,Mentee,Hoog,3,5,1,1,4,Kans,1,Hoog,3,Change champion,Risk-averse,Midden,1,E-learning,Geld,1,3,Laag,75/25,Geen,Midden,Hoog,Midden,Middel,Snel,Midden,Ja,Google Meet,2,1,Neutraal,4,5,3,Stilhouden,Intuïtief,9,7800
Volker Nexus Group,VNG-7129JB,Dex Maas,34,V,Pools-Nederlands,Zeeland,WO,Geodesie,Wind,6,2,Projectleider,KAM/HSSE,Team-46,Junior-Medior,Visionair,ISFP,Centrum,2,25,54,Te voet,Nee,100,Informeel,Voorzichtig,Afwezig,Consensus,Maandelijks,1,Ja,5,Geen,Gemiddeld,4,5,4,3,1,Kans,3,Laag,2,Volger,Risk-seeking,Laag,4,On-the-job,Zekerheid,4,2,Laag,50/50,2-ploeg,Midden,Midden,Laag,Klein,Traag,Laag,Ja,Zoom,5,4,Proactief,5,4,2,Formalistisch,Data-gedreven,8,6340
Volker Nexus Group,VNG-Y8IFYF,Lara Steenbakkers,21,M,Nederlands,Limburg,WO,Econometrie,Betonconstructies,1,0,Werkvoorbereider,Bouw,Team-02,Starter,Innovatief,INFJ,Centrum-rechts,4,64,0,Te voet,Nee,50,Feitelijk,Indirect,Ondersteunend,Autonoom,Wekelijks,3,Ja,2,Beide,Gemiddeld,1,2,3,2,1,Kans,3,Laag,4,Weerstand,Neutraal,Midden,1,Klassikaal,Geld,2,5,Hoog,50/50,Geen,Midden,Midden,Midden,Groot,Snel,Laag,Ja,Google Meet,5,4,Sceptisch,1,2,3,Stilhouden,Data-gedreven,23,3196
Volker Nexus Group,VNG-37U1E8,Kay van der Meulen-Eelman,52,V,Nederlands,Gelderland,HBO,Rechten,Asset Management,4,1,BIM-modelleur,Bouw,Team-15,Junior-Medior,Neutraal,ISFJ,Centrum-links,2,70,14,Auto,Ja,75,Feitelijk,Indirect,Ondersteunend,Autonoom,Zelden,3,Ja,3,Mentee,Gemiddeld,5,3,3,3,1,Verlies,2,Hoog,1,Weerstand,Risk-averse,Hoog,5,Klassikaal,Groei,5,4,Midden,25/75,3-ploeg,Hoog,Midden,Laag,Klein,Traag,Hoog,Ja,Slack,2,5,Neutraal,4,3,4,Stilhouden,Data-gedreven,10,4040
Volker Nexus Group,VNG-FSPJAA,Lieve Brouwer-Westerburg,38,X,Nederlands,Groningen,Bachelor,Informatica,Warmtepompen,16,6,Uitvoerder,Materieel & Logistiek,Team-49,Senior,Conservatief,ENFP,Centrum,5,3,50,OV,Ja,0,Feitelijk,Indirect,Sturend,Top-down,Maandelijks,3,Nee,4,Geen,Hoog,2,5,3,4,4,Verlies,5,Hoog,4,Weerstand,Risk-seeking,Laag,3,Coaching,Zekerheid,3,4,Laag,100% kantoor,2-ploeg,Laag,Midden,Laag,Middel,Snel,Laag,Nee,Zoom,4,2,Proactief,5,5,4,Stilhouden,Intuïtief,18,9620
Volker Nexus Group,VNG-M6OCLZ,Ivy Schatteleijn,23,X,Nederlands,Noord-Holland,PhD,Econometrie,Azure Cloud,5,5,Engineer E,Engineering,Team-09,Junior-Medior,Visionair,INTP,Links,4,70,40,Fiets,Nee,25,Verbindend,Direct,Ondersteunend,Consensus,Zelden,0,Ja,3,Beide,Hoog,2,4,1,5,5,Verlies,2,Hoog,2,Volger,Risk-averse,Midden,5,Coaching,Geld,3,1,Hoog,100% field,2-ploeg,Hoog,Hoog,Laag,Groot,Traag,Laag,Nee,Google Meet,2,3,Neutraal,5,1,4,Proactief,Intuïtief,39,5100
Volker Nexus Group,VNG-3I0YLG,Mehmet Wijland,37,X,Nederlands,Friesland,MBO,Installatietechniek,Wind,0,0,Planner,Materieel & Logistiek,Team-44,Starter,Conservatief,ESFP,Centrum-links,1,77,4,OV,Ja,25,Verbindend,Indirect,Sturend,Autonoom,Dagelijks,0,Ja,1,Mentee,Gemiddeld,1,1,3,4,1,Verlies,3,Laag,4,Change champion,Neutraal,Hoog,3,Coaching,Zingeving,3,4,Midden,100% kantoor,2-ploeg,Hoog,Laag,Hoog,Middel,Traag,Laag,Ja,Microsoft Teams,2,2,Neutraal,3,5,3,Formalistisch,Intuïtief,38,3060
Volker Nexus Group,VNG-M5GD88,Inaya van Hulten,47,X,Nederlands,Limburg,MBO,Kwaliteitsmanagement,BIM,9,2,Uitvoerder,Materieel & Logistiek,Team-25,Medior,Reactief,ESTP,Centrum-rechts,2,44,50,Te voet,Nee,100,Feitelijk,Indirect,Coachend,Consensus,Wekelijks,1,Nee,4,Geen,Hoog,4,4,3,5,5,Kans,4,Gemiddeld,2,Weerstand,Risk-averse,Hoog,1,Klassikaal,Zingeving,3,1,Midden,100% kantoor,Geen,Laag,Laag,Midden,Groot,Snel,Midden,Ja,Zoom,2,1,Sceptisch,4,5,2,Formalistisch,Ervarings-gedreven,21,6600
Volker Nexus Group,VNG-HCCPQ2,Fatima van Soest,29,M,Nederlands,Zuid-Holland,MBO,Ruimtelijke Ordening,Cost Engineering,6,3,Servicemonteur,Finance/Control,Team-09,Junior-Medior,Visionair,ENTP,Centrum-rechts,4,60,72,Fiets,Ja,0,Informeel,Voorzichtig,Sturend,Consensus,Wekelijks,0,Ja,4,Mentor,Hoog,4,4,2,2,3,Neutraal,4,Laag,3,Volger,Risk-averse,Midden,5,Coaching,Geld,1,3,Hoog,100% field,2-ploeg,Laag,Midden,Hoog,Klein,Gemiddeld,Laag,Ja,Zoom,4,3,Proactief,4,1,4,Formalistisch,Ervarings-gedreven,38,4110
Volker Nexus Group,VNG-IVHS0J,Johannes Adelaar,55,M,Nederlands,Limburg,MBO,Communicatie,LCA,0,0,Planner,Materieel & Logistiek,Team-16,Starter,Innovatief,ESTJ,Centrum,4,100,14,OV,Ja,100,Feitelijk,Direct,Coachend,Autonoom,Zelden,2,Ja,3,Mentee,Laag,5,5,2,3,2,Verlies,3,Gemiddeld,2,Weerstand,Risk-averse,Midden,4,On-the-job,Geld,2,2,Laag,100% field,2-ploeg,Midden,Laag,Laag,Geen,Snel,Hoog,Nee,Microsoft Teams,5,3,Proactief,4,4,4,Proactief,Ervarings-gedreven,29,3060
Volker Nexus Group,VNG-YBO8P9,Mirte van Gelder,35,M,Nederlands,Noord-Brabant,HBO,Scheikunde,Geotechniek,17,16,Monteur W-tech,Commercie/BD,Team-42,Senior,Neutraal,ENTP,Centrum,1,60,50,Auto,Ja,50,Informeel,Indirect,Coachend,Consensus,Wekelijks,2,Ja,2,Geen,Gemiddeld,3,2,1,1,3,Kans,2,Laag,5,Change champion,Neutraal,Midden,3,Klassikaal,Zekerheid,4,2,Laag,25/75,2-ploeg,Hoog,Midden,Midden,Klein,Snel,Hoog,Nee,Microsoft Teams,5,2,Sceptisch,1,3,2,Stilhouden,Intuïtief,27,7033
Volker Nexus Group,VNG-FBSJYV,Dave Haselaar,43,V,Nederlands,Zuid-Holland,HBO,Kwaliteitsmanagement,Systems Engineering,5,4,Monteur E-tech,Materieel & Logistiek,Team-43,Junior-Medior,Conservatief,INFJ,Centrum-links,3,36,63,OV,Nee,100,Verbindend,Voorzichtig,Coachend,Top-down,Wekelijks,0,Ja,3,Mentor,Gemiddeld,5,2,1,5,4,Neutraal,1,Hoog,1,Volger,Risk-averse,Hoog,1,On-the-job,Zingeving,5,2,Midden,100% field,2-ploeg,Hoog,Midden,Midden,Klein,Gemiddeld,Hoog,Ja,Zoom,4,5,Proactief,4,3,3,Formalistisch,Ervarings-gedreven,36,3850
Volker Nexus Group,VNG-V0VELG,Stefan Ulrich,30,M,Antilliaans-Nederlands,Limburg,MBO,Ruimtelijke Ordening,ARBO,17,3,Werkplaatschef,Infra,Team-46,Senior,Reactief,ENTP,Rechts,1,60,50,Fiets,Nee,75,Feitelijk,Indirect,Sturend,Autonoom,Dagelijks,1,Ja,3,Beide,Laag,4,1,1,1,1,Kans,4,Gemiddeld,3,Weerstand,Risk-averse,Hoog,1,Coaching,Status,5,4,Hoog,100% kantoor,3-ploeg,Laag,Midden,Midden,Geen,Traag,Laag,Nee,Zoom,1,2,Sceptisch,5,4,3,Stilhouden,Data-gedreven,5,9438
Volker Nexus Group,VNG-00EY0I,Mehmet Speijer,52,M,Surinaams-Nederlands,Zuid-Holland,MBO,Informatica,Warmtepompen,16,6,BIM-modelleur,Infra,Team-02,Senior,Neutraal,ENTP,Links,5,70,0,Auto,Nee,0,Formeel,Direct,Sturend,Top-down,Wekelijks,0,Ja,3,Geen,Hoog,3,2,2,4,5,Kans,3,Hoog,2,Change champion,Risk-seeking,Midden,5,Coaching,Zekerheid,1,1,Hoog,50/50,3-ploeg,Midden,Hoog,Laag,Klein,Traag,Hoog,Nee,Microsoft Teams,4,2,Neutraal,2,5,2,Stilhouden,Intuïtief,27,7358
Volker Nexus Group,VNG-12A21O,Yassin Koster-Huijben,18,V,Nederlands,Gelderland,Bachelor,Rechten,Prefab/Modulair,1,0,Werkvoorbereider,Uitvoering,Team-32,Starter,Visionair,INFJ,Rechts,3,23,21,OV,Nee,50,Feitelijk,Direct,Afwezig,Consensus,Wekelijks,2,Nee,2,Geen,Laag,1,4,5,3,4,Kans,3,Laag,4,Volger,Risk-averse,Midden,1,Coaching,Geld,5,5,Midden,50/50,Geen,Laag,Hoog,Midden,Middel,Snel,Hoog,Nee,Zoom,5,3,Neutraal,2,5,1,Formalistisch,Data-gedreven,35,3196
